instruction,input,output,text
"In the given sentence, find the entities of possible types - TASK, MATERIAL, METHOD, METRIC, GENERIC, OTHERSCIENTIFICTERM",The proposed method also has the potential to solve other type of tracking problems .,The entities 'method' of type GENERIC and 'tracking problems' of type TASK are identified from the given text.,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: In the given sentence, find the entities of possible types - TASK, MATERIAL, METHOD, METRIC, GENERIC, OTHERSCIENTIFICTERM ### Input: The proposed method also has the potential to solve other type of tracking problems . ### Response: The entities 'method' of type GENERIC and 'tracking problems' of type TASK are identified from the given text."
"In the given sentence, find the entities of possible types - TASK, MATERIAL, METHOD, METRIC, GENERIC, OTHERSCIENTIFICTERM","In this paper , we present a digital signal processor -LRB- DSP -RRB- implementation of real-time statistical voice conversion -LRB- VC -RRB- for silent speech enhancement and electrolaryngeal speech enhancement .","The entities 'digital signal processor -LRB- DSP -RRB- implementation' of type METHOD, 'real-time statistical voice conversion -LRB- VC -RRB-' of type METHOD, 'silent speech enhancement' of type TASK and 'electrolaryngeal speech enhancement' of type TASK are identified from the given text.","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: In the given sentence, find the entities of possible types - TASK, MATERIAL, METHOD, METRIC, GENERIC, OTHERSCIENTIFICTERM ### Input: In this paper , we present a digital signal processor -LRB- DSP -RRB- implementation of real-time statistical voice conversion -LRB- VC -RRB- for silent speech enhancement and electrolaryngeal speech enhancement . ### Response: The entities 'digital signal processor -LRB- DSP -RRB- implementation' of type METHOD, 'real-time statistical voice conversion -LRB- VC -RRB-' of type METHOD, 'silent speech enhancement' of type TASK and 'electrolaryngeal speech enhancement' of type TASK are identified from the given text."
"In the given sentence, find the entities of possible types - TASK, MATERIAL, METHOD, METRIC, GENERIC, OTHERSCIENTIFICTERM","As a silent speech interface , we focus on non-audible murmur -LRB- NAM -RRB- , which can be used in situations where audible speech is not acceptable .","The entities 'silent speech interface' of type OTHERSCIENTIFICTERM, 'non-audible murmur -LRB- NAM -RRB-' of type MATERIAL and 'audible speech' of type MATERIAL are identified from the given text.","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: In the given sentence, find the entities of possible types - TASK, MATERIAL, METHOD, METRIC, GENERIC, OTHERSCIENTIFICTERM ### Input: As a silent speech interface , we focus on non-audible murmur -LRB- NAM -RRB- , which can be used in situations where audible speech is not acceptable . ### Response: The entities 'silent speech interface' of type OTHERSCIENTIFICTERM, 'non-audible murmur -LRB- NAM -RRB-' of type MATERIAL and 'audible speech' of type MATERIAL are identified from the given text."
"In the given sentence, find the entities of possible types - TASK, MATERIAL, METHOD, METRIC, GENERIC, OTHERSCIENTIFICTERM",Electrolaryngeal speech is one of the typical types of alaryngeal speech produced by an alternative speaking method for laryngectomees .,"The entities 'Electrolaryngeal speech' of type MATERIAL, 'alaryngeal speech' of type MATERIAL, 'speaking method' of type METHOD and 'laryngectomees' of type OTHERSCIENTIFICTERM are identified from the given text.","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: In the given sentence, find the entities of possible types - TASK, MATERIAL, METHOD, METRIC, GENERIC, OTHERSCIENTIFICTERM ### Input: Electrolaryngeal speech is one of the typical types of alaryngeal speech produced by an alternative speaking method for laryngectomees . ### Response: The entities 'Electrolaryngeal speech' of type MATERIAL, 'alaryngeal speech' of type MATERIAL, 'speaking method' of type METHOD and 'laryngectomees' of type OTHERSCIENTIFICTERM are identified from the given text."
"In the given sentence, find the entities of possible types - TASK, MATERIAL, METHOD, METRIC, GENERIC, OTHERSCIENTIFICTERM","However , the sound quality of NAM and electrolaryngeal speech suffers from lack of naturalness .",The entities 'sound quality' of type METRIC and 'NAM and electrolaryngeal speech' of type MATERIAL are identified from the given text.,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: In the given sentence, find the entities of possible types - TASK, MATERIAL, METHOD, METRIC, GENERIC, OTHERSCIENTIFICTERM ### Input: However , the sound quality of NAM and electrolaryngeal speech suffers from lack of naturalness . ### Response: The entities 'sound quality' of type METRIC and 'NAM and electrolaryngeal speech' of type MATERIAL are identified from the given text."
"In the given sentence, find the entities of possible types - TASK, MATERIAL, METHOD, METRIC, GENERIC, OTHERSCIENTIFICTERM","VC has proven to be one of the promising approaches to address this problem , and it has been successfully implemented on devices with sufficient computational resources .","The entities 'VC' of type METHOD, 'it' of type GENERIC, 'devices' of type GENERIC and 'sufficient computational resources' of type MATERIAL are identified from the given text.","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: In the given sentence, find the entities of possible types - TASK, MATERIAL, METHOD, METRIC, GENERIC, OTHERSCIENTIFICTERM ### Input: VC has proven to be one of the promising approaches to address this problem , and it has been successfully implemented on devices with sufficient computational resources . ### Response: The entities 'VC' of type METHOD, 'it' of type GENERIC, 'devices' of type GENERIC and 'sufficient computational resources' of type MATERIAL are identified from the given text."
"In the given sentence, find the entities of possible types - TASK, MATERIAL, METHOD, METRIC, GENERIC, OTHERSCIENTIFICTERM",An implementation on devices that are highly portable but have limited computational resources would greatly contribute to its practical use .,The entities 'devices' of type GENERIC and 'limited computational resources' of type MATERIAL are identified from the given text.,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: In the given sentence, find the entities of possible types - TASK, MATERIAL, METHOD, METRIC, GENERIC, OTHERSCIENTIFICTERM ### Input: An implementation on devices that are highly portable but have limited computational resources would greatly contribute to its practical use . ### Response: The entities 'devices' of type GENERIC and 'limited computational resources' of type MATERIAL are identified from the given text."
"In the given sentence, find the entities of possible types - TASK, MATERIAL, METHOD, METRIC, GENERIC, OTHERSCIENTIFICTERM",In this paper we further implement real-time VC on a DSP .,The entities 'real-time VC' of type METHOD and 'DSP' of type OTHERSCIENTIFICTERM are identified from the given text.,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: In the given sentence, find the entities of possible types - TASK, MATERIAL, METHOD, METRIC, GENERIC, OTHERSCIENTIFICTERM ### Input: In this paper we further implement real-time VC on a DSP . ### Response: The entities 'real-time VC' of type METHOD and 'DSP' of type OTHERSCIENTIFICTERM are identified from the given text."
"In the given sentence, find the entities of possible types - TASK, MATERIAL, METHOD, METRIC, GENERIC, OTHERSCIENTIFICTERM","To implement the two speech enhancement systems based on real-time VC , one from NAM to a whispered voice and the other from electrolaryngeal speech to a natural voice , we propose several methods for reducing computational cost while preserving conversion accuracy .","The entities 'speech enhancement systems' of type METHOD, 'real-time VC' of type METHOD, 'one' of type GENERIC, 'NAM' of type MATERIAL, 'whispered voice' of type MATERIAL, 'other' of type GENERIC, 'electrolaryngeal speech' of type MATERIAL, 'natural voice' of type MATERIAL, 'methods' of type GENERIC, 'computational cost' of type METRIC and 'conversion accuracy' of type METRIC are identified from the given text.","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: In the given sentence, find the entities of possible types - TASK, MATERIAL, METHOD, METRIC, GENERIC, OTHERSCIENTIFICTERM ### Input: To implement the two speech enhancement systems based on real-time VC , one from NAM to a whispered voice and the other from electrolaryngeal speech to a natural voice , we propose several methods for reducing computational cost while preserving conversion accuracy . ### Response: The entities 'speech enhancement systems' of type METHOD, 'real-time VC' of type METHOD, 'one' of type GENERIC, 'NAM' of type MATERIAL, 'whispered voice' of type MATERIAL, 'other' of type GENERIC, 'electrolaryngeal speech' of type MATERIAL, 'natural voice' of type MATERIAL, 'methods' of type GENERIC, 'computational cost' of type METRIC and 'conversion accuracy' of type METRIC are identified from the given text."
"In the given sentence, find the entities of possible types - TASK, MATERIAL, METHOD, METRIC, GENERIC, OTHERSCIENTIFICTERM",We conduct experimental evaluations and show that real-time VC is capable of running on a DSP with little degradation .,The entities 'real-time VC' of type METHOD and 'DSP' of type OTHERSCIENTIFICTERM are identified from the given text.,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: In the given sentence, find the entities of possible types - TASK, MATERIAL, METHOD, METRIC, GENERIC, OTHERSCIENTIFICTERM ### Input: We conduct experimental evaluations and show that real-time VC is capable of running on a DSP with little degradation . ### Response: The entities 'real-time VC' of type METHOD and 'DSP' of type OTHERSCIENTIFICTERM are identified from the given text."
"In the given sentence, find the entities of possible types - TASK, MATERIAL, METHOD, METRIC, GENERIC, OTHERSCIENTIFICTERM",We propose a method that automatically generates paraphrase sets from seed sentences to be used as reference sets in objective machine translation evaluation measures like BLEU and NIST .,"The entities 'method' of type GENERIC, 'paraphrase' of type OTHERSCIENTIFICTERM, 'machine translation evaluation measures' of type METRIC, 'BLEU' of type METRIC and 'NIST' of type METRIC are identified from the given text.","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: In the given sentence, find the entities of possible types - TASK, MATERIAL, METHOD, METRIC, GENERIC, OTHERSCIENTIFICTERM ### Input: We propose a method that automatically generates paraphrase sets from seed sentences to be used as reference sets in objective machine translation evaluation measures like BLEU and NIST . ### Response: The entities 'method' of type GENERIC, 'paraphrase' of type OTHERSCIENTIFICTERM, 'machine translation evaluation measures' of type METRIC, 'BLEU' of type METRIC and 'NIST' of type METRIC are identified from the given text."
"In the given sentence, find the entities of possible types - TASK, MATERIAL, METHOD, METRIC, GENERIC, OTHERSCIENTIFICTERM","We measured the quality of the paraphrases produced in an experiment , i.e. , -LRB- i -RRB- their grammaticality : at least 99 % correct sentences ; -LRB- ii -RRB- their equivalence in meaning : at least 96 % correct paraphrases either by meaning equivalence or entailment ; and , -LRB- iii -RRB- the amount of internal lexical and syntactical variation in a set of paraphrases : slightly superior to that of hand-produced sets .","The entities 'paraphrases' of type OTHERSCIENTIFICTERM, 'grammaticality' of type METRIC, 'equivalence in meaning' of type METRIC, 'paraphrases' of type OTHERSCIENTIFICTERM, 'meaning equivalence' of type METHOD, 'entailment' of type METHOD, 'internal lexical and syntactical variation' of type METRIC, 'paraphrases' of type OTHERSCIENTIFICTERM and 'hand-produced sets' of type OTHERSCIENTIFICTERM are identified from the given text.","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: In the given sentence, find the entities of possible types - TASK, MATERIAL, METHOD, METRIC, GENERIC, OTHERSCIENTIFICTERM ### Input: We measured the quality of the paraphrases produced in an experiment , i.e. , -LRB- i -RRB- their grammaticality : at least 99 % correct sentences ; -LRB- ii -RRB- their equivalence in meaning : at least 96 % correct paraphrases either by meaning equivalence or entailment ; and , -LRB- iii -RRB- the amount of internal lexical and syntactical variation in a set of paraphrases : slightly superior to that of hand-produced sets . ### Response: The entities 'paraphrases' of type OTHERSCIENTIFICTERM, 'grammaticality' of type METRIC, 'equivalence in meaning' of type METRIC, 'paraphrases' of type OTHERSCIENTIFICTERM, 'meaning equivalence' of type METHOD, 'entailment' of type METHOD, 'internal lexical and syntactical variation' of type METRIC, 'paraphrases' of type OTHERSCIENTIFICTERM and 'hand-produced sets' of type OTHERSCIENTIFICTERM are identified from the given text."
"In the given sentence, find the entities of possible types - TASK, MATERIAL, METHOD, METRIC, GENERIC, OTHERSCIENTIFICTERM",The paraphrase sets produced by this method thus seem adequate as reference sets to be used for MT evaluation .,"The entities 'paraphrase' of type OTHERSCIENTIFICTERM, 'method' of type GENERIC and 'MT evaluation' of type TASK are identified from the given text.","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: In the given sentence, find the entities of possible types - TASK, MATERIAL, METHOD, METRIC, GENERIC, OTHERSCIENTIFICTERM ### Input: The paraphrase sets produced by this method thus seem adequate as reference sets to be used for MT evaluation . ### Response: The entities 'paraphrase' of type OTHERSCIENTIFICTERM, 'method' of type GENERIC and 'MT evaluation' of type TASK are identified from the given text."
"In the given sentence, find the entities of possible types - TASK, MATERIAL, METHOD, METRIC, GENERIC, OTHERSCIENTIFICTERM",Graph unification remains the most expensive part of unification-based grammar parsing .,The entities 'Graph unification' of type TASK and 'unification-based grammar parsing' of type TASK are identified from the given text.,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: In the given sentence, find the entities of possible types - TASK, MATERIAL, METHOD, METRIC, GENERIC, OTHERSCIENTIFICTERM ### Input: Graph unification remains the most expensive part of unification-based grammar parsing . ### Response: The entities 'Graph unification' of type TASK and 'unification-based grammar parsing' of type TASK are identified from the given text."
"In the given sentence, find the entities of possible types - TASK, MATERIAL, METHOD, METRIC, GENERIC, OTHERSCIENTIFICTERM",We focus on one speed-up element in the design of unification algorithms : avoidance of copying of unmodified subgraphs .,"The entities 'speed-up element' of type METHOD, 'unification algorithms' of type METHOD and 'unmodified subgraphs' of type OTHERSCIENTIFICTERM are identified from the given text.","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: In the given sentence, find the entities of possible types - TASK, MATERIAL, METHOD, METRIC, GENERIC, OTHERSCIENTIFICTERM ### Input: We focus on one speed-up element in the design of unification algorithms : avoidance of copying of unmodified subgraphs . ### Response: The entities 'speed-up element' of type METHOD, 'unification algorithms' of type METHOD and 'unmodified subgraphs' of type OTHERSCIENTIFICTERM are identified from the given text."
"In the given sentence, find the entities of possible types - TASK, MATERIAL, METHOD, METRIC, GENERIC, OTHERSCIENTIFICTERM",We propose a method of attaining such a design through a method of structure-sharing which avoids log -LRB- d -RRB- overheads often associated with structure-sharing of graphs without any use of costly dependency pointers .,"The entities 'method' of type GENERIC, 'structure-sharing' of type METHOD, 'log -LRB- d -RRB- overheads' of type OTHERSCIENTIFICTERM, 'structure-sharing of graphs' of type OTHERSCIENTIFICTERM and 'dependency pointers' of type METHOD are identified from the given text.","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: In the given sentence, find the entities of possible types - TASK, MATERIAL, METHOD, METRIC, GENERIC, OTHERSCIENTIFICTERM ### Input: We propose a method of attaining such a design through a method of structure-sharing which avoids log -LRB- d -RRB- overheads often associated with structure-sharing of graphs without any use of costly dependency pointers . ### Response: The entities 'method' of type GENERIC, 'structure-sharing' of type METHOD, 'log -LRB- d -RRB- overheads' of type OTHERSCIENTIFICTERM, 'structure-sharing of graphs' of type OTHERSCIENTIFICTERM and 'dependency pointers' of type METHOD are identified from the given text."
"In the given sentence, find the entities of possible types - TASK, MATERIAL, METHOD, METRIC, GENERIC, OTHERSCIENTIFICTERM",The proposed scheme eliminates redundant copying while maintaining the quasi-destructive scheme 's ability to avoid over copying and early copying combined with its ability to handle cyclic structures without algorithmic additions .,"The entities 'scheme' of type GENERIC, 'redundant copying' of type OTHERSCIENTIFICTERM, 'quasi-destructive scheme 's ability' of type OTHERSCIENTIFICTERM, 'over copying' of type OTHERSCIENTIFICTERM, 'early copying' of type OTHERSCIENTIFICTERM and 'cyclic structures' of type OTHERSCIENTIFICTERM are identified from the given text.","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: In the given sentence, find the entities of possible types - TASK, MATERIAL, METHOD, METRIC, GENERIC, OTHERSCIENTIFICTERM ### Input: The proposed scheme eliminates redundant copying while maintaining the quasi-destructive scheme 's ability to avoid over copying and early copying combined with its ability to handle cyclic structures without algorithmic additions . ### Response: The entities 'scheme' of type GENERIC, 'redundant copying' of type OTHERSCIENTIFICTERM, 'quasi-destructive scheme 's ability' of type OTHERSCIENTIFICTERM, 'over copying' of type OTHERSCIENTIFICTERM, 'early copying' of type OTHERSCIENTIFICTERM and 'cyclic structures' of type OTHERSCIENTIFICTERM are identified from the given text."
"In the given sentence, find the entities of possible types - TASK, MATERIAL, METHOD, METRIC, GENERIC, OTHERSCIENTIFICTERM",We describe a novel technique and implemented system for constructing a subcategorization dictionary from textual corpora .,"The entities 'system' of type GENERIC, 'subcategorization dictionary' of type OTHERSCIENTIFICTERM and 'textual corpora' of type MATERIAL are identified from the given text.","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: In the given sentence, find the entities of possible types - TASK, MATERIAL, METHOD, METRIC, GENERIC, OTHERSCIENTIFICTERM ### Input: We describe a novel technique and implemented system for constructing a subcategorization dictionary from textual corpora . ### Response: The entities 'system' of type GENERIC, 'subcategorization dictionary' of type OTHERSCIENTIFICTERM and 'textual corpora' of type MATERIAL are identified from the given text."
"In the given sentence, find the entities of possible types - TASK, MATERIAL, METHOD, METRIC, GENERIC, OTHERSCIENTIFICTERM",Each dictionary entry encodes the relative frequency of occurrence of a comprehensive set of subcategorization classes for English .,The entity 'relative frequency of occurrence' of type OTHERSCIENTIFICTERM is identified from the given text.,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: In the given sentence, find the entities of possible types - TASK, MATERIAL, METHOD, METRIC, GENERIC, OTHERSCIENTIFICTERM ### Input: Each dictionary entry encodes the relative frequency of occurrence of a comprehensive set of subcategorization classes for English . ### Response: The entity 'relative frequency of occurrence' of type OTHERSCIENTIFICTERM is identified from the given text."
"In the given sentence, find the entities of possible types - TASK, MATERIAL, METHOD, METRIC, GENERIC, OTHERSCIENTIFICTERM","An initial experiment , on a sample of 14 verbs which exhibit multiple complementation patterns , demonstrates that the technique achieves accuracy comparable to previous approaches , which are all limited to a highly restricted set of subcategorization classes .",There are no entities in the given text.,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: In the given sentence, find the entities of possible types - TASK, MATERIAL, METHOD, METRIC, GENERIC, OTHERSCIENTIFICTERM ### Input: An initial experiment , on a sample of 14 verbs which exhibit multiple complementation patterns , demonstrates that the technique achieves accuracy comparable to previous approaches , which are all limited to a highly restricted set of subcategorization classes . ### Response: There are no entities in the given text."
